(all times in ms),, Lotkavolterra,,,,,,,,,,,, Pendulum,,,,,,,,,,,, Lorenz,,,,,,,,,,,, Lorenz-ExtraOut,,,,,,,,,,,
,, Small Time,,,,,, Large Time,,,,,, Small Time,,,,,, Large Time,,,,,, Small Time,,,,,, Large Time,,,,,, Small Time,,,,,, Large Time,,,,,
CyRK Version, Run-on Date, cython (avg), cython (std),CySolver (avg),CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std),CySolver (avg),CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std),CySolver (avg),CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std),CySolver (avg),CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std),CySolver (avg),CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std),CySolver (avg),CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std),CySolver (avg),CySolver (std), numba  (avg), numba  (std), cython (avg), cython (std),CySolver (avg),CySolver (std), numba  (avg), numba  (std)
0.2.1a0.dev0, 31/12/2022 15:20:45,1.8276,0.0151,#N/A,#N/A,1.1707,0.0109,18.7322,0.9322,#N/A,#N/A,15.7761,0.3838,4.3962,0.0707,#N/A,#N/A,0.8514,0.0093,41.3949,0.0976,#N/A,#N/A,10.8289,0.2851,2.9752,0.0378,#N/A,#N/A,1.7464,0.0223,43.5468,0.4935,#N/A,#N/A,45.923,0.1192,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
0.2.3a0.dev0, 31/12/2022 18:40:34,1.8018,0.0068,#N/A,#N/A,1.1605,0.0565,18.0421,0.1954,#N/A,#N/A,15.3828,0.0708,1.3378,0.006,#N/A,#N/A,0.8302,0.0051,13.3223,0.1534,#N/A,#N/A,11.1093,0.2312,2.9014,0.0122,#N/A,#N/A,1.7109,0.0206,41.991,0.179,#N/A,#N/A,45.2819,0.374,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
0.3.0a1.dev0, 04/01/2023 00:25:16,1.8115,0.0131,#N/A,#N/A,0.2585,0.0011,17.846,0.0909,#N/A,#N/A,2.4612,0.0502,1.3712,0.023,#N/A,#N/A,0.2402,0.0123,13.0822,0.1295,#N/A,#N/A,2.3001,0.1608,2.908,0.0115,#N/A,#N/A,0.4046,0.0039,42.7422,0.7547,#N/A,#N/A,5.7555,0.0697,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
0.3.0, 05/01/2023 10:01:39,1.798,0.0179,#N/A,#N/A,0.2488,0.007,18.3591,0.4265,#N/A,#N/A,2.275,0.0356,1.3278,0.0082,#N/A,#N/A,0.2179,0.003,13.2111,0.2056,#N/A,#N/A,1.9998,0.1186,2.9175,0.0569,#N/A,#N/A,0.4892,0.0545,43.7249,0.7168,#N/A,#N/A,5.2899,0.0926,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
0.4.0a0.dev7, 19/01/2023 00:16:47,1.6215,0.007,#N/A,#N/A,0.2658,0.0012,15.9618,0.0617,#N/A,#N/A,2.4543,0.0102,1.2047,0.0078,#N/A,#N/A,0.2206,0.0013,11.5133,0.032,#N/A,#N/A,1.9925,0.0192,2.4698,0.0055,#N/A,#N/A,0.4073,0.0049,36.6541,0.1025,#N/A,#N/A,5.4567,0.0308,2.9369,0.0051,#N/A,#N/A,0.7251,0.0146,43.2334,0.1386,#N/A,#N/A,10.229,0.0706
0.5.0a3.dev0, 28/03/2023 12:42:18,1.4355,0.0038,#N/A,#N/A,0.2273,0.0006,13.8784,0.0545,#N/A,#N/A,2.0894,0.0244,1.0099,0.0026,#N/A,#N/A,0.1802,0.0007,9.5253,0.0467,#N/A,#N/A,1.574,0.0116,1.9879,0.0359,#N/A,#N/A,0.3394,0.0033,28.5659,0.1013,#N/A,#N/A,4.725,0.0673,2.3823,0.0177,#N/A,#N/A,0.6134,0.0056,34.5347,0.1064,#N/A,#N/A,8.6572,0.0694
0.5.0a4.dev1, 28/03/2023 15:03:00,1.6564,0.0976,#N/A,#N/A,0.2369,0.0042,14.2637,0.2702,#N/A,#N/A,2.4129,0.229,1.0572,0.0308,#N/A,#N/A,0.1929,0.0102,9.8867,0.2293,#N/A,#N/A,1.6442,0.0303,2.055,0.0588,#N/A,#N/A,0.3415,0.0025,29.0485,0.0882,#N/A,#N/A,4.6925,0.0758,2.438,0.0456,#N/A,#N/A,0.6565,0.0238,35.9287,0.5693,#N/A,#N/A,9.5987,0.8587
0.5.3, 29/03/2023 18:53:59,1.495,0.022,#N/A,#N/A,0.2382,0.0043,14.346,0.2391,#N/A,#N/A,2.1512,0.0124,1.0725,0.0588,#N/A,#N/A,0.1908,0.0059,9.9641,0.2233,#N/A,#N/A,1.6407,0.0169,2.098,0.0337,#N/A,#N/A,0.3471,0.0034,30.948,0.4268,#N/A,#N/A,5.0067,0.1861,2.4647,0.0475,#N/A,#N/A,0.6474,0.0015,37.4663,0.932,#N/A,#N/A,9.5284,0.2498
0.6.0.dev3, 27/07/2023 16:33:27, 1.4976, 0.0078, 0.1263, 0.0020, 0.2183, 0.0048, 14.6415, 0.1659, 0.7735, 0.0326, 2.1201, 0.1075, 1.0564, 0.0226, 0.1215, 0.0014, 0.1799, 0.0041, 10.1866, 0.1168, 0.7128, 0.0174, 1.5160, 0.0183, 2.0563, 0.0244, 0.1735, 0.0048, 0.3245, 0.0064, 30.8844, 1.3249, 1.7317, 0.0159, 4.3405, 0.0464, 2.4736, 0.0144, 0.1848, 0.0019, 0.5841, 0.0089, 36.2224, 0.1844, 1.8375, 0.0131, 8.4909, 0.0345
